Movie Name,Year,IMDb Rating,Votes
,,9.9,308800
,,9.9,227768
,,9.9,182375
,,9.9,99034
,,9.9,86600
,,9.9,53074
,,9.9,50815
,,9.9,47180
,,9.9,41727
,,9.9,40429
,,9.9,33339
,,9.9,27422
,,9.8,291940
,,9.8,166778
,,9.8,157273
,,9.8,142654
,,9.8,130895
,,9.8,120288
,,9.8,105312
,,9.8,104225
,,9.8,103979
,,9.8,102906
,,9.8,95591
,,9.8,81192
,,9.8,79361
,,9.8,75639
,,9.8,74983
,,9.8,72688
,,9.8,72529
,,9.8,67778
,,9.8,66874
,,9.8,59953
,,9.8,56867
,,9.8,56808
,,9.8,48263
,,9.8,47014
,,9.8,44952
,,9.8,44107
,,9.8,43849
,,9.8,43223
,,9.8,40610
,,9.8,37052
,,9.8,31640
,,9.8,31148
,,9.8,30349
,,9.8,29128
,,9.8,28174
,,9.8,27519
,,9.8,27121
,,9.8,26674
,,9.7,126628
,,9.7,124001
,,9.7,107701
,,9.7,103158
,,9.7,97254
,,9.7,91056
,,9.7,90565
,,9.7,89190
,,9.7,88177
,,9.7,87920
,,9.7,84589
,,9.7,83642
,,9.7,79053
,,9.7,75512
,,9.7,60367
,,9.7,58672
,,9.7,56072
,,9.7,53587
,,9.7,53554
,,9.7,52091
,,9.7,49757
,,9.7,48989
,,9.7,48613
,,9.7,48259
,,9.7,48104
,,9.7,45916
,,9.7,45490
,,9.7,45335
,,9.7,45163
,,9.7,42707
,,9.7,39301
,,9.7,39140
,,9.7,37631
,,9.7,37440
,,9.7,36250
,,9.7,35242
,,9.7,34591
,,9.7,34003
,,9.7,33240
,,9.7,32582
,,9.7,31368
,,9.7,27314
,,9.7,27308
,,9.7,25715
,,9.6,121690
,,9.6,85447
,,9.6,82757
,,9.6,81326
,,9.6,80410
,,9.6,79504
,,9.6,77162
,,9.6,65474
,,9.6,62372
,,9.6,60106
,,9.6,58483
,,9.6,53409
,,9.6,45277
,,9.6,43764
,,9.6,43018
,,9.6,42997
,,9.6,42218
,,9.6,41548
,,9.6,40798
,,9.6,40233
,,9.6,39085
,,9.6,38424
,,9.6,36953
,,9.6,35614
,,9.6,32872
,,9.6,32025
,,9.6,31122
,,9.6,31071
,,9.6,29907
,,9.6,29871
,,9.6,27607
,,9.6,27596
,,9.6,27292
,,9.5,2631184
,,9.5,502042
,,9.5,188444
,,9.5,126727
,,9.5,73435
,,9.5,72013
,,9.5,70050
,,9.5,61683
,,9.5,61129
,,9.5,60611
,,9.5,58364
,,9.5,56400
,,9.5,55627
,,9.5,50508
,,9.5,47375
,,9.5,47352
,,9.5,47098
,,9.5,44117
,,9.5,43874
,,9.5,42068
,,9.5,38423
,,9.5,37947
,,9.5,37609
,,9.5,36045
,,9.5,35395
,,9.5,31042
,,9.5,29484
,,9.5,28218
,,9.5,26591
,,9.5,26548
,,9.5,25172
,,9.5,25170
,,9.4,596710
,,9.4,235527
,,9.4,175546
,,9.4,89721
,,9.4,88542
,,9.4,85025
,,9.4,67795
,,9.4,65374
,,9.4,65304
,,9.4,65104
,,9.4,64875
,,9.4,50433
,,9.4,46698
,,9.4,46397
,,9.4,43896
,,9.4,39189
,,9.4,38734
,,9.4,38660
,,9.4,37186
,,9.4,37100
,,9.4,36955
,,9.4,36707
,,9.4,36378
,,9.4,36227
,,9.4,33633
,,9.4,31765
,,9.4,30900
,,9.4,30596
,,9.4,29054
,,9.4,25139
The Shawshank Redemption,1994,9.3,3198304
,,9.3,1044083
,,9.3,444780
,,9.3,432796
,,9.3,124132
,,9.3,65162
,,9.3,64842
,,9.3,58506
,,9.3,58064
,,9.3,57936
,,9.3,55127
,,9.3,55122
,,9.3,54855
,,9.3,53355
,,9.3,52645
,,9.3,52572
,,9.3,52257
,,9.3,52208
,,9.3,51151
,,9.3,50892
,,9.3,50860
,,9.3,47970
,,9.3,41062
,,9.3,38209
,,9.3,37228
,,9.3,36744
,,9.3,35536
,,9.3,35416
,,9.3,32244
,,9.3,31727
,,9.3,26639
,,9.3,26495
,,9.2,2625502
The Godfather,1972,9.2,2231582
,,9.2,583146
,,9.2,173511
,,9.2,140325
,,9.2,85315
,,9.2,75675
,,9.2,68512
,,9.2,65455
,,9.2,64240
,,9.2,63784
,,9.2,63424
,,9.2,63115
,,9.2,62361
,,9.2,56689
,,9.2,56400
,,9.2,54398
,,9.2,54187
,,9.2,53940
,,9.2,53827
,,9.2,53809
,,9.2,48845
,,9.2,47748
,,9.2,39828
,,9.2,39139
,,9.2,38323
,,9.2,37941
,,9.2,37910
,,9.2,37701
